191864734,1654953550.990 1654955148.583 1654955149.786 1654956009.658 1655068602.890 1655132624.326 1655134516.058 1655137043.955 1655156652.991
191864774,1654953552.013 1654955229.263 1654955229.836 1654956010.797 1655068603.138 1655132292.932 1655134335.227 1655134848.779 1655156628.400
191864805,1654953551.910 1654955298.112 1654955298.770 1654956011.735 1655068604.342 1655132319.637 1655134726.617 1655136740.729 1655139364.633 1655158054.816
191865095,1654954152.257 1654955799.463 1654955800.750 1654955999.939 1655068608.268 1655126276.781 1655128592.934 1655132471.924 1655157028.925
191865281,1654954451.796 1654956098.169 1654956098.923 1654957267.537 1655046768.761 1655162225.491 1655162225.771 1655164270.212 1655181308.572
191865432,1654954747.781 1654954749.253 1654954750.365 1654956004.043 1655068599.585 1655124741.827 1655126878.320 1655127932.219 1655157373.102
191865472,1654954751.818 1654956424.354 1654956424.913 1654957272.859 1655068584.879 1655125975.215 1655128142.701 1655137045.297 1655158036.098
191866011,1654955651.337 1654957232.214 1654957232.982 1654958349.219 1655068589.308 1655126909.310 1655127421.216 1655133855.534 1655158063.095
191866958,1654956852.245 1654958620.799 1654958621.334 1654959616.501 1655068602.810 1655126185.413 1655130636.076 1655133797.197 1655157399.285
191866963,1654956852.219 1654958633.326 1654958633.813 1654959616.718 1655068603.091 1655130275.687 1655130486.908 1655133673.727 1655157423.039
191867187,1654957451.335 1654958961.723 1654958962.818 1654959608.792 1655068607.618 1655129343.680 1655129344.889 1655133734.567 1655157362.650
191867587,1654958051.387 1654959569.117 1654959569.943 1654960876.160 1655046775.118 1655107651.988 1655107653.162 1655130307.614 1655157391.176
191867937,1654958352.286 1654959995.321 1654959996.052 1654960892.217 1655068623.629 1655128743.405 1655128773.446 1655131961.328 1655158066.818
191868310,1654958951.346 1654960475.008 1654960475.440 1654960884.442 1655068626.794 1655131809.832 1655134906.264 1655136954.550 1655157396.966
191868395,1654958952.498 1654960609.004 1654960609.696 1654961951.518 1655068627.230 1655126036.575 1655129583.408 1655133372.896 1655156981.645
191868600,1654959251.577 1654960840.494 1654960841.591 1654961958.152 1655068614.587 1655128292.714 1655128472.497 1655130398.570 1655157366.466
191868980,1654959552.803 1654961306.026 1654961306.654 1654961968.902 1655068617.668 1655128112.024 1655128564.790 1655131900.126 1655157461.466
191869136,1654959851.832 1654961482.282 1654961483.022 1654961972.841 1655046812.659 1655107531.494 1655107532.036 1655111357.606 1655111419.299
191869750,1654960452.350 1654962193.799 1654962194.288 1654963225.046 1655099384.984 1655135026.131 1655135357.473 1655137161.760 1655157351.212
191869946,1654960752.063 1654962389.175 1654962389.848 1654963230.031 1655046825.770 1655112078.855 1655112079.039 1655114184.945 1655115647.827
191870390,1654961352.237 1654962882.754 1654962883.294 1654963242.917 1655099389.253 1655136319.947 1655140533.258 1655150039.249 1655157503.287
191870530,1654961353.370 1654963027.128 1654963027.788 1654964479.111 1655099390.748 1655136411.151 1655140624.119 1655149948.619 1655157397.981
191871361,1654962251.924 1654963854.700 1654963856.243 1654964496.538 1655068073.990 1655166553.031 1655166553.780 1655168386.915 1655176038.766
191871614,1654962551.692 1654964109.851 1654964110.317 1654964511.995 1655099399.006 1655136862.040 1655137943.285 1655140533.390 1655157436.663
191871775,1654962552.114 1654964240.230 1654964240.801 1654965560.012 1655099400.284 1655136440.674 1655136770.816 1655139631.701 1655157434.816
191872145,1654962852.484 1654964637.482 1654964638.063 1654965568.406 1655099403.303 1655136530.723 1655138124.057 1655143962.541 1655157456.171
191872363,1654963152.765 1654964865.705 1654964866.132 1654965572.809 1655099404.716 1655137492.708 1655137885.333 1655140593.962 1655157405.610
191872651,1654963452.606 1654965177.679 1654965178.069 1654965579.225 1655067610.510 1655131890.821 1655131950.864 1655134276.357 1655157482.056
191872984,1654963752.787 1654965496.189 1654965496.766 1654966827.226 1655067614.250 1655132713.503 1655132713.748 1655134997.717 1655157439.516
191873413,1654964351.509 1654965876.321 1654965877.034 1654966843.356 1655067618.502 1655138035.765 1655138035.982 1655145917.044 1655157017.089
191873473,1654964351.821 1654965932.367 1654965933.389 1654966844.496 1655099384.810 1655137463.815 1655139270.479 1655149350.194 1655157401.286
191873662,1654964352.806 1654966112.209 1654966112.788 1654966849.107 1655099386.058 1655141195.944 1655141255.534 1655151847.098 1655156913.370
191873763,1654964651.678 1654966221.705 1654966222.395 1654966851.560 1655067622.065 1655139751.407 1655139811.531 1655145285.389 1655157517.172
191874018,1654964952.648 1654966472.513 1654966472.926 1654966829.335 1655099389.146 1655138728.608 1655139179.717 1655144803.712 1655157072.512
191874231,1654964952.666 1654966644.938 1654966645.405 1654968091.722 1655067627.587 1655122318.392 1655122318.688 1655126066.682 1655157502.256
191874487,1654965253.207 1654966909.489 1654966909.986 1654968101.827 1655099392.162 1655134275.617 1655136320.436 1655147961.590 1655157551.718
191874700,1654965552.062 1654967094.701 1654967095.183 1654968087.517 1655099393.415 1655137884.054 1655138125.973 1655147178.560 1655157501.589
191874728,1654965551.647 1654965555.027 1654965556.146 1654966829.274 1655067979.891 1655140773.862 1655140774.362 1655145976.914 1655158103.575
191874788,1654965552.064 1654967183.703 1654967185.036 1654968089.220 1655099394.456 1655136409.499 1655138366.057 1655143269.950 1655157605.925
191875931,1654966752.326 1654968311.253 1654968311.940 1654969182.206 1655067667.601 1655123147.313 1655123147.583 1655127330.204 1655157520.783
191876864,1654967651.515 1654969175.197 1654969176.113 1654970436.858 1655067687.467 1655127900.234 1655127900.504 1655134605.992 1655157506.912
